award_show,url
Academy Awards,https://www.imdb.com/event/ev0000003/2018/1?ref_=ttawd_ev_1
Golden Globes,https://www.imdb.com/event/ev0000292/2018/1?ref_=ttawd_ev_2
Critics Choice,https://www.imdb.com/event/ev0000133/2018/1?ref_=ttawd_ev_19
Chicago Film Critics,https://www.imdb.com/event/ev0000163/2018/1?ref_=ttawd_ev_21
Satellite,https://www.imdb.com/event/ev0000296/2018/1?ref_=ttawd_ev_72
Directors Guild,https://www.imdb.com/event/ev0000212/2018/1?ref_=ttawd_ev_27
Producers Guild,https://www.imdb.com/event/ev0000531/2018/1?ref_=ttawd_ev_66
SAG,https://www.imdb.com/event/ev0000598/2018/1?ref_=ttawd_ev_4
BAFTA,https://www.imdb.com/event/ev0000123/2018/1?ref_=ttawd_ev_3
American Cinema Editors,https://www.imdb.com/event/ev0000017/2018/1?ref_=ttawd_ev_8
