nominee_name,character_name,award,second_term
1917,Best Picture,Best Motion Picture of the Year,1
Ford v Ferrari,Best Picture,Best Motion Picture of the Year,1
Jojo Rabbit,Best Picture,Best Motion Picture of the Year,1
Joker,Best Picture,Best Motion Picture of the Year,1
Little Women,Best Picture,Best Motion Picture of the Year,1
Marriage Story,Best Picture,Best Motion Picture of the Year,1
Once Upon a Time... in Hollywood,Best Picture,Best Motion Picture of the Year,1
Parasite,Best Picture,Best Motion Picture of the Year,1
The Irishman,Best Picture,Best Motion Picture of the Year,1
Adam Driver,Charlie,Best Performance by an Actor in a Leading Role,1
Antonio Banderas,Salvador Mallo,Best Performance by an Actor in a Leading Role,1
Joaquin Phoenix,Arthur Fleck,Best Performance by an Actor in a Leading Role,1
Jonathan Pryce,Pope Francis,Best Performance by an Actor in a Leading Role,1
Leonardo DiCaprio,Rick Dalton,Best Performance by an Actor in a Leading Role,1
Charlize Theron,Megyn Kelly,Best Performance by an Actress in a Leading Role,1
Cynthia Erivo,Harriet,Best Performance by an Actress in a Leading Role,1
Renee Zellweger,Judy Garland,Best Performance by an Actress in a Leading Role,1
Saoirse Ronan,Jo March,Best Performance by an Actress in a Leading Role,1
Scarlett Johansson,Nicole,Best Performance by an Actress in a Leading Role,1
Al Pacino,Jimmy Hoffa,Best Performance by an Actor in a Supporting Role,1
Anthony Hopkins,Pope Benedict,Best Performance by an Actor in a Supporting Role,1
Brad Pitt,Cliff Booth,Best Performance by an Actor in a Supporting Role,1
Joe Pesci,Russell Bufalino,Best Performance by an Actor in a Supporting Role,1
Tom Hanks,Fred Rogers,Best Performance by an Actor in a Supporting Role,1
Florence Pugh,Amy March,Best Performance by an Actress in a Supporting Role,1
Kathy Bates,Bobi Jewell,Best Performance by an Actress in a Supporting Role,1
Laura Dern,Nora Fanshaw,Best Performance by an Actress in a Supporting Role,1
Margot Robbie,Kayla Pospisil,Best Performance by an Actress in a Supporting Role,1
Scarlett Johansson,Rosie,Best Performance by an Actress in a Supporting Role,1
Bong Joon Ho,,Best Achievement in Directing,0
Martin Scorsese,,Best Achievement in Directing,0
Quentin Tarantino,,Best Achievement in Directing,0
Sam Mendes,,Best Achievement in Directing,0
Todd Phillips,,Best Achievement in Directing,0
1917,Screenplay,Best Original Screenplay,1
Knives Out,Screenplay,Best Original Screenplay,1
Marriage Story,Screenplay,Best Original Screenplay,1
Once Upon a Time... in Hollywood,Screenplay,Best Original Screenplay,1
Parasite,Screenplay,Best Original Screenplay,1
Jojo Rabbit,Screenplay,Best Adapted Screenplay,1
Joker,Screenplay,Best Adapted Screenplay,1
Little Women,Screenplay,Best Adapted Screenplay,1
The Irishman,Screenplay,Best Adapted Screenplay,1
The Two Popes,Screenplay,Best Adapted Screenplay,1
